EventTime,Symbol,aggTradeID,price,quantity,bidderMaker,priceTimesQuantity,cml_vol,sig,cml_bid
1633760924867,BTCUSDT,946974129,54991.5,0.00133,True,-73.138695,174542.71647330007,-1,21
1633760924945,BTCUSDT,946974130,54991.51,0.03657,False,2011.0395207,176553.75599400006,1,22
1633760924956,BTCUSDT,946974131,54996.17,0.01,False,549.9617,177103.71769400008,1,23
1633760925026,BTCUSDT,946974132,54996.16,0.02138,True,-1175.8179008,175927.89979320008,-1,22
1633760925037,BTCUSDT,946974133,54996.17,0.03545,False,1949.6142265,177877.5140197001,1,23
1633760925070,BTCUSDT,946974134,54996.17,0.00289,False,158.9389313,178036.4529510001,1,24
1633760925117,BTCUSDT,946974135,54996.17,0.0092,False,505.964764,178542.4177150001,1,25
1633760925175,BTCUSDT,946974136,54996.17,1e-05,False,0.5499617,178542.9676767001,1,26
1633760925175,BTCUSDT,946974137,55002.23,0.00036,False,19.800802800000003,178562.76847950008,1,27
1633760925175,BTCUSDT,946974138,55003.18,0.00701,False,385.5722918,178948.34077130008,1,28
1633760925175,BTCUSDT,946974139,55003.19,0.00019,False,10.450606100000002,178958.79137740008,1,29
1633760925175,BTCUSDT,946974140,55005.02,0.00742,False,408.1372484,179366.92862580006,1,30
1633760925221,BTCUSDT,946974141,55007.91,0.0128,True,-704.101248,178662.82737780007,-1,29
1633760925268,BTCUSDT,946974142,55007.91,0.00125,True,-68.7598875,178594.06749030008,-1,28
1633760925310,BTCUSDT,946974143,55007.91,0.23595,True,-12979.1163645,165614.9511258001,-1,27
1633760925321,BTCUSDT,946974144,55002.42,0.00117,True,-64.3528314,165550.5982944001,-1,26
1633760925412,BTCUSDT,946974145,54998.91,0.0081,True,-445.491171,165105.10712340008,-1,25
1633760925418,BTCUSDT,946974146,55004.69,0.0713,False,3921.834397,169026.94152040008,1,26
1633760925418,BTCUSDT,946974147,55007.19,0.07195,False,3957.7673205,172984.70884090007,1,27
1633760925418,BTCUSDT,946974148,55007.2,0.07387,False,4063.381864,177048.09070490007,1,28
1633760925418,BTCUSDT,946974149,55007.87,1.15041,False,63281.6037267,240329.69443160007,1,29
1633760925570,BTCUSDT,946974150,55007.86,0.20937,True,-11516.9956482,228812.6987834001,-1,28
1633760925944,BTCUSDT,946974151,55005.0,0.0071,True,-390.5355,228422.1632834001,-1,27
1633760925945,BTCUSDT,946974152,55005.01,0.00091,False,50.0545591,228472.21784250007,1,28
1633760925948,BTCUSDT,946974153,55005.0,0.39547,True,-21752.82735,206719.39049250007,-1,27
1633760925991,BTCUSDT,946974154,55002.84,0.00339,True,-186.4596276,206532.9308649001,-1,26
1633760926051,BTCUSDT,946974155,55002.85,0.20021,False,11012.1205985,217545.05146340007,1,27
1633760926181,BTCUSDT,946974156,54997.5,0.01499,False,824.412525,218369.4639884001,1,28
1633760926221,BTCUSDT,946974157,54996.38,0.0003,False,16.498914,218385.9629024001,1,29
1633760926366,BTCUSDT,946974158,54996.36,0.011,True,-604.95996,217781.00294240005,-1,28
1633760926418,BTCUSDT,946974159,54996.35,0.018,True,-989.9343,216791.0686424001,-1,27
1633760926462,BTCUSDT,946974160,54996.16,0.01408,True,-774.3459328000001,216016.7227096001,-1,26
1633760926701,BTCUSDT,946974161,54993.01,0.02828,False,1555.2023228,217571.9250324001,1,27
1633760926708,BTCUSDT,946974162,54993.01,0.00126,False,69.2911926,217641.21622500007,1,28
1633760927112,BTCUSDT,946974163,54993.0,0.00372,True,-204.57396,217436.6422650001,-1,27
1633760927191,BTCUSDT,946974164,54993.01,0.01499,False,824.3452199000001,218260.98748490005,1,28
1633760927326,BTCUSDT,946974165,54993.0,0.00136,True,-74.79048,218186.19700490005,-1,27
1633760928056,BTCUSDT,946974166,54993.0,0.00273,True,-150.13089,218036.06611490005,-1,26
1633760928109,BTCUSDT,946974167,54993.0,0.00173,True,-95.13789,217940.92822490004,-1,25
1633760928170,BTCUSDT,946974168,54993.01,0.00545,False,299.7119045,218240.64012940004,1,26
1633760928194,BTCUSDT,946974169,54993.01,0.01499,False,824.3452199000001,219064.98534930003,1,27
1633760928249,BTCUSDT,946974170,54993.0,0.02603,True,-1431.4677900000002,217633.51755930003,-1,26
1633760928271,BTCUSDT,946974171,54993.01,0.00909,False,499.8864609000001,218133.4040202,1,27
1633760928272,BTCUSDT,946974172,54993.01,0.0038,False,208.973438,218342.3774582,1,28
1633760928282,BTCUSDT,946974173,54993.01,0.01,False,549.9301,218892.3075582,1,29
1633760928305,BTCUSDT,946974174,54993.01,0.00041,False,22.5471341,218914.8546923,1,30
1633760928347,BTCUSDT,946974175,54993.01,0.00857,False,471.2900957,219386.144788,1,31
1633760928415,BTCUSDT,946974176,54993.01,0.0004,False,21.997204000000004,219408.141992,1,32
1633760928712,BTCUSDT,946974177,54993.01,0.02245,False,1234.5930745,220642.73506650003,1,33
1633760928799,BTCUSDT,946974178,54993.01,1e-05,False,0.5499301000000001,220643.28499660004,1,34
1633760928799,BTCUSDT,946974179,54996.36,0.01364,False,750.1503504,221393.43534700005,1,35
1633760928799,BTCUSDT,946974180,54996.37,0.02388,False,1313.3133156,222706.7486626001,1,36
1633760928799,BTCUSDT,946974181,54996.38,0.01485,False,816.696243,223523.44490560007,1,37
1633760928799,BTCUSDT,946974182,55000.35,0.05215,False,2868.2682525,226391.7131581001,1,38
1633760928799,BTCUSDT,946974183,55000.37,0.05007,False,2753.8685259000003,229145.5816840001,1,39
1633760928799,BTCUSDT,946974184,55001.44,0.04543,False,2498.7154192,231644.29710320008,1,40
1633760928814,BTCUSDT,946974185,54996.36,0.00076,True,-41.797233600000006,231602.49986960008,-1,39
1633760928910,BTCUSDT,946974186,54995.1,0.00279,False,153.436329,231755.93619860007,1,40
1633760929011,BTCUSDT,946974187,54993.02,0.12,False,6599.162399999999,238355.09859860007,1,41
